,SUBDIVISION,YEAR,Jan-Feb,Mar-May,June-September,Oct-Dec,Latitude,Longitude,ANNUAL,target
167,1,1974,226.3,648.7,2023.6,165.4,28.093770000000006,94.59213,3064.0,0
168,1,1975,94.2,454.8,1177.7,486.70000000000016,28.093770000000006,94.59213,2213.4,0
169,1,1976,121.8,608.0,1416.6,273.2,28.093770000000006,94.59213,2419.6,0
170,1,1977,204.7,1187.3,1950.2000000000005,432.2,28.093770000000006,94.59213,3774.4,0
171,1,1978,119.3,712.6,1417.5,281.6,28.093770000000006,94.59213,2531.0,0
172,1,1979,129.0,507.3,1619.1999999999994,518.2,28.093770000000006,94.59213,2773.7,0
173,1,1980,196.0,868.9,1957.1,193.4,28.093770000000006,94.59213,3215.4000000000005,0
174,1,1981,229.2,737.6,1667.3999999999994,156.6,28.093770000000006,94.59213,2790.8,0
175,1,1982,106.8,727.9,1746.4,198.3,28.093770000000006,94.59213,2779.4,0
176,1,1983,236.5,870.6999999999997,1980.5,247.4,28.093770000000006,94.59213,3335.1,0
177,1,1984,140.89999999999995,1004.9,1853.0,279.29999999999995,28.093770000000006,94.59213,3278.0999999999995,0
178,1,1985,135.1,948.2,1992.3,190.8,28.093770000000006,94.59213,3266.4,0
179,1,1986,109.4,559.9,1599.1,227.2,28.093770000000006,94.59213,2495.6,0
180,1,1987,76.2,730.5,2461.8,164.79999999999995,28.093770000000006,94.59213,3433.2999999999997,0
181,1,1988,169.2,1065.5,2457.0,463.7,28.093770000000006,94.59213,4155.4,0
182,1,1989,224.5,721.3,1956.7,379.20000000000016,28.093770000000006,94.59213,3281.7,0
183,1,1990,167.2,805.0999999999997,2369.5,262.3,28.093770000000006,94.59213,3604.1,0
184,1,1991,110.9,727.7,2303.9,292.0,28.093770000000006,94.59213,3434.5000000000005,0
185,1,1992,162.10000000000005,620.2,1702.6,221.9,28.093770000000006,94.59213,2706.8,0
186,1,1993,221.1,673.3,2203.7,250.8,28.093770000000006,94.59213,3348.9,0
187,1,1994,120.8,830.3,1154.3,181.9,28.093770000000006,94.59213,2287.3,0
188,1,1995,100.5,647.0,2155.3,166.0,28.093770000000006,94.59213,3068.8,0
189,1,1996,91.9,733.2,1472.5000000000002,223.0,28.093770000000006,94.59213,2520.6,0
190,1,1997,94.7,465.8,1583.7,130.70000000000002,28.093770000000006,94.59213,2274.9,0
191,1,1998,105.5,593.6,2707.4,210.2,28.093770000000006,94.59213,3616.7,0
192,1,1999,14.0,543.2,1519.0,240.50000000000003,28.093770000000006,94.59213,2316.7000000000007,0
193,1,2000,101.2,700.9000000000003,1650.0,144.79999999999995,28.093770000000006,94.59213,2596.9000000000005,0
194,1,2001,119.7,560.4,1147.8,208.00000000000003,28.093770000000006,94.59213,2035.9,0
195,1,2002,111.4,571.6,1549.4,156.9,28.093770000000006,94.59213,2389.3,0
196,1,2003,106.1,465.1,1656.6999999999994,223.8,28.093770000000006,94.59213,2451.7,0
197,1,2004,77.1,684.4,1578.6999999999994,205.6,28.093770000000006,94.59213,2545.8,0
198,1,2005,216.0,604.6,1343.6999999999996,171.20000000000005,28.093770000000006,94.59213,2335.5,0
199,1,2006,109.7,587.7,1393.4,168.6,28.093770000000006,94.59213,2259.399999999999,0
200,1,2007,110.8,590.9,2185.100000000001,133.79999999999998,28.093770000000006,94.59213,3020.6000000000013,0
201,1,2008,116.4,500.0,1508.7,119.4,28.093770000000006,94.59213,2244.4999999999995,0
202,1,2009,110.8,394.7,1111.8,132.70000000000002,28.093770000000006,94.59213,1750.0000000000002,0
203,1,2010,13.8,1017.4,1653.6,170.79999999999995,28.093770000000006,94.59213,2855.5999999999995,0
204,1,2011,91.3,634.9,1384.1,83.3,28.093770000000006,94.59213,2193.5999999999995,0
205,1,2012,93.6,724.9999999999999,2325.6,296.3,28.093770000000006,94.59213,3440.4999999999995,0
206,1,2013,59.0,626.0,1165.9,192.0,28.093770000000006,94.59213,2042.9,0
207,1,2014,120.9,466.0,1750.8000000000006,65.4,28.093770000000006,94.59213,2403.0999999999995,0
208,1,2015,78.3,623.5,1936.9,128.8,28.093770000000006,94.59213,2767.5,0
209,1,2016,102.6,740.4,1678.1,185.7,28.093770000000006,94.59213,2706.8,0
